date,NY,NJ,FL,CA,TX,UT
3/17/20,7,4,6,11,1,0
3/18/20,12,7,7,13,2,0
3/19/20,12,13,8,18,3,0
3/20/20,35,16,10,20,5,0
3/21/20,44,22,12,24,5,0
3/22/20,114,29,13,27,5,1
3/23/20,114,40,14,27,8,1
3/24/20,210,60,18,40,9,1
3/25/20,285,81,22,53,12,1
3/26/20,385,108,28,65,18,1
3/27/20,519,140,34,78,23,2
3/28/20,728,191,54,101,27,2
3/29/20,965,217,56,123,34,2
3/30/20,1218,266,63,133,34,4
3/31/20,1550,364,77,153,41,5
4/1/20,1941,475,87,171,58,7
4/2/20,2373,680,128,203,70,7
4/3/20,2935,816,163,237,90,7
4/4/20,3565,1058,191,276,105,8
4/5/20,4159,1184,218,319,127,8
4/6/20,4758,1334,236,343,140,13
4/7/20,5489,1631,296,374,154,13
4/8/20,6268,1969,309,442,177,13
4/9/20,7067,2236,354,492,199,13
4/10/20,7844,2521,390,541,226,17
4/11/20,8627,2844,438,609,254,18
4/12/20,9385,3084,465,651,271,18
4/13/20,10056,3248,483,687,287,18
4/14/20,10834,3659,537,758,318,19
4/15/20,11586,4068,609,821,364,20
4/16/20,12192,4489,646,890,393,21
4/17/20,12822,4853,699,985,428,23
4/18/20,13362,5139,754,1072,453,25
4/19/20,13869,5310,781,1166,477,27
4/20/20,14347,5518,806,1208,495,28
4/21/20,14828,5932,856,1268,517,32
4/22/20,15302,6275,910,1354,543,34
4/23/20,15740,6607,979,1469,561,35
4/24/20,16162,6886,1031,1562,593,39
4/25/20,16599,7166,1075,1651,623,41
4/26/20,16966,7268,1094,1710,648,41
4/27/20,17303,7407,1101,1755,663,41
4/28/20,17638,7835,1154,1809,690,45
4/29/20,18015,8184,1240,1887,732,45
4/30/20,18321,8664,1290,1982,782,46
5/1/20,18610,9000,1314,2073,816,46
5/2/20,18909,9225,1388,2171,847,49
5/3/20,19189,9380,1403,2215,867,50
5/4/20,19415,9442,1423,2254,884,50
5/5/20,19645,9783,1536,2317,906,56
5/6/20,19877,10104,1605,2412,948,58
5/7/20,20828,10368,1667,2504,973,61
5/8/20,21045,10538,1738,2585,1004,61
5/9/20,21271,10715,1785,2678,1049,66
5/10/20,21478,10866,1791,2745,1088,67
5/11/20,21640,10926,1805,2770,1100,68
5/12/20,21845,11138,1849,2847,1133,73
5/13/20,22013,11340,1898,2934,1158,75
5/14/20,22170,11592,1948,3032,1216,75
5/15/20,22304,11789,1991,3108,1272,77
5/16/20,22478,11903,2040,3204,1305,78
5/17/20,22619,12013,2049,3261,1336,80
5/18/20,22729,12096,2073,3302,1347,80
5/19/20,22843,12248,2129,3334,1369,88
5/20/20,22976,12416,2173,3436,1419,90
5/21/20,23083,12518,2222,3542,1440,92
5/22/20,23195,12666,2268,3630,1480,93
5/23/20,23282,12765,2312,3708,1506,97
5/24/20,23391,12819,2316,3774,1506,97
5/25/20,23488,12834,2331,3795,1527,98
5/26/20,23564,12886,2338,3814,1536,101
5/27/20,23643,13037,2400,3884,1562,105
5/28/20,23722,13104,2446,3973,1601,106
5/29/20,23780,13239,2495,4068,1626,107
5/30/20,23848,13345,2530,4156,1626,112
5/31/20,23905,13412,2534,4213,1672,113
6/1/20,23959,13438,2543,4251,1678,113
6/2/20,24023,13490,2613,4286,1698,113
6/3/20,24079,13602,2650,4361,1734,117
6/4/20,24133,13697,2691,4422,1767,117
6/5/20,24175,13779,2745,4485,1788,120
6/6/20,24212,13837,2773,4559,1819,121
6/7/20,24259,13908,2786,4626,1830,121
6/8/20,24299,13947,2798,4653,1830,124
6/9/20,24348,14040,2851,4697,1853,127
6/10/20,24404,14116,2889,4776,1885,128
6/11/20,24442,14183,2938,4881,1920,131
6/12/20,24495,14232,2967,4943,1939,139
6/13/20,24527,14335,3016,4989,1957,139
6/14/20,24551,14372,3022,5063,1976,139
6/15/20,24579,14424,3030,5089,1983,143
6/16/20,24608,14476,3085,5121,2029,145
6/17/20,24629,14518,3110,5208,2062,149
6/18/20,24661,14550,3154,5290,2105,152
6/19/20,24686,14585,3197,5360,2140,155
6/20/20,24710,14608,3237,5424,2165,155
6/21/20,24725,14623,3254,5495,2182,158
6/22/20,24739,14651,3266,5515,2192,158
6/23/20,24766,14707,3333,5580,2220,163
6/24/20,24782,14753,3377,5632,2249,163
6/25/20,24800,14776,3423,5733,2296,164
6/26/20,24814,14819,3464,5812,2324,166
6/27/20,24830,14855,3489,5872,2366,167
6/28/20,24835,14882,3518,5905,2393,167
6/29/20,24842,14901,3546,5936,2403,168
6/30/20,24855,14944,3604,5980,2424,172
7/1/20,24866,14987,3650,6090,2481,173
7/2/20,24877,15014,3718,6163,2525,176
7/3/20,24885,15072,3785,6263,2575,181
7/4/20,24896,15097,3803,6313,2608,181
7/5/20,24904,15119,3832,6331,2637,184
7/6/20,24913,15138,3880,6337,2655,190
7/7/20,24924,15191,3943,6448,2715,194
7/8/20,24944,15243,3991,6562,2813,201
7/9/20,24959,15268,4111,6711,2918,205
7/10/20,24968,15299,4203,6851,3013,207
7/11/20,24974,15345,4301,6945,3112,212
7/12/20,24979,15361,4346,7017,3192,215
7/13/20,24989,15380,4381,7040,3235,216
7/14/20,24994,15402,4514,7087,3322,226
7/15/20,25003,15427,4626,7227,3432,233
7/16/20,25014,15458,4782,7345,3561,234
7/17/20,25024,15477,4912,7475,3735,235
7/18/20,25035,15492,5002,7595,3865,243
7/19/20,25048,15500,5091,7685,3958,243
7/20/20,25056,15510,5183,7694,4020,247
7/21/20,25058,15533,5319,7755,4151,251
7/22/20,25068,15557,5459,7870,4348,260
7/23/20,25081,15581,5632,8027,4521,267
7/24/20,25090,15616,5768,8186,4717,273
7/25/20,25103,15627,5894,8337,4885,274
7/26/20,25106,15639,5972,8416,5038,274
7/27/20,25117,15657,6049,8445,5713,281
7/28/20,25126,15679,6240,8518,5877,286
7/29/20,25132,15697,6457,8715,6190,292
7/30/20,25145,15708,6709,8909,6274,300
7/31/20,25150,15719,6966,9005,6569,304
8/1/20,25164,15731,7144,9224,6837,310
8/2/20,25170,15737,7206,9356,6837,311
8/3/20,25172,15747,7279,9388,7016,314
8/4/20,25175,15758,7526,9501,7261,321
8/5/20,25179,15765,7751,9703,7497,327
8/6/20,25185,15772,7871,9869,7803,330
8/7/20,25190,15783,8051,10011,8096,335
8/8/20,25195,15792,8238,10189,8343,335
8/9/20,25202,15797,8315,10293,8459,336
8/10/20,25204,15801,8408,10359,8490,345
8/11/20,25211,15813,8685,10468,8710,349
8/12/20,25218,15824,8898,10648,9034,351
8/13/20,25228,15832,9047,10808,9289,353
8/14/20,25232,15842,9276,10996,9602,360
8/15/20,25244,15851,9480,11147,9840,363
8/16/20,25250,15853,9587,11224,9983,363
8/17/20,25256,15857,9674,11242,10034,364
8/18/20,25264,15867,9893,11342,10250,369
8/19/20,25270,15878,10067,11523,10559,377
8/20/20,25275,15884,10186,11686,10793,381
8/21/20,25278,15893,10304,11821,11051,383
8/22/20,25282,15895,10411,11988,11266,385
8/23/20,25288,15898,10462,12134,11370,385
8/24/20,25295,15901,10534,12152,11395,390
8/25/20,25297,15905,10717,12257,11576,397
8/26/20,25305,15915,10872,12407,11805,401
8/27/20,25309,15922,11011,12550,12070,403
8/28/20,25312,15932,11099,12690,12266,407
8/29/20,25319,15935,11249,12834,12420,407
8/30/20,25327,15939,11263,12905,12510,407
8/31/20,25328,15947,11331,12933,12536,407
9/1/20,25331,15952,11521,13018,12681,409
9/2/20,25336,15963,11651,13163,12870,410
9/3/20,25343,15970,11800,13327,13091,414
